"Da sprich doch jemand, oder?",Surprise
"Du hast mir doch gesagt, du wärst der Nikolaus?!",Sad
Ja hat er gesagt!,none
"Guck mal die Augen, die sind ganz goldig",Surprise
Du bist ein feiner Bube.,Happy
"Guck mal hier, was ist denn da drin?",Surprise
So ein hübscher Mann muss doch einer Freundin haben,Surprise
Bitte sage mir das,none
Siehst du! Das hast du gut gemacht,Happy
"Ach das musst du dir ein bisschen überlegen, ob du gern in die Schule gehst",Happy
"Nein, nein, nein, nein. Nochmal.",none
"Ja, jetzt hast du es richtig gemacht. Jetzt gibt es eine gute Note",Happy
"Wir sind auch mal in die Schule gegangen. Lang, lang ist das her.",Sad
Du liebe Zeit. Er fährt alleine.,Surprise
Da habe ich mich aber erschrocken,Surprise
Es ist denn so kalt hier drin,Disgust
Ich weiß es gar nicht mehr,Sad
Es gibt es heute nicht mehr,Sad
Wer war denn das?,Surprise
Wer spricht denn dort?,Surprise
Ach du lieber Junge,Surprise
"Guck mal, was er für einen dicken Kopf hat",Surprise
Ein goldiges Kind,Happy
Ach wie goldig,Happy
Ach wie schön,Happy
Haben Sie gesehen,Surprise
was mach alles machen kann,Surprise
Was ist das?,Surprise
Die Puppe ist auch schön,none
"Bisschen langweilig hier, nicht?",none
Ist schönes Wetter heute,Happy
"Oh, was du alles kannst",Surprise
Das ist aber ein Service,Surprise
Große Füße hat er,none
Ekelhaft das Wetter,Disgust
"Gucken Sie mal, wie er blinzelt",Surprise
"Der hat sich gerade vorstellt, ich bin der Jonas",Surprise
Der ist schön,Happy
Der guckt uns richtig an,Happy
"es ist unglaublich, wie echt er ist",Surprise
"Oh, was ist jetzt denn?",Surprise
"Ist ja richti gruselig, wenn der auf einen fährt",Fear
"Jenny stop, nicht weiter",Fear
Wer macht das alles?,Surprise
Der gefällt mir der Eisbär,Happy
"Oh, was ist das für eine süsse Robbe da",Happy
Man könnte meinen  die ist echt,none
"schön, dass man sich sehen kann",Happy
Sehr schön,Happy
"Das ist ein Hund, ja?",Surprise
Man macht dem Menschen den Mensch nach,none
Tolle Funktion,Happy
Er kann nur piepen,Sad
"Guck mal da, Heidewitzka",Surprise
Die Bewegung macht das Ding von ganz alleine,Surprise
"Ist unglaublich, was die Technik alles fertig bringt",Surprise
Und da ist jetzt keiner an den Hebeln?,none
